Workspace_ID,Project_Type,Workspace_Region,Opportunity_ID
18856515,PTO,N/A,N/A
20459435,Discretionary,N/A,N/A
20459455,Non-Discretionary,N/A,N/A
20459485,Discretionary,N/A,N/A
20459495,Billable,N/A,N/A
20459685,Other Admin,N/A,N/A
21010075,Discretionary,N/A,N/A
21076945,Discretionary,EMEA,N/A
21105635,Billable,North America,N/A
21278135,Billable,APAC,0065000000jOiLRAA0
21317185,Billable,North America,N/A
21323545,Billable,North America,0065000000huiYVAAY
21514775,Billable,North America,0065000000gXXAqAAO
21754035,Discretionary,N/A,N/A
21839905,Billable,North America,0065000000kA1C0AAK
21984605,Billable,N/A,N/A
22095125,Discretionary,EMEA,N/A
22095155,Discretionary,EMEA,N/A
22161845,Billable,North America,0065000000kcWZCAA2
22410025,Billable,North America,0065000000jN7vXAAS
22461685,Billable,North America,0065000000kBOONAA4
22497405,Other Admin,N/A,N/A
22547535,Other Admin,N/A,N/A
22624235,Discretionary,N/A,N/A
22871605,Billable,North America,0065000000m5OciAAE
23118835,Billable,North America,0065000000jQXYbAAO
23196155,Billable,EMEA,0065000000gY33OAAS
23211345,Billable,North America,0062J00000mpMkMQAU
23250085,Billable,APAC,0065000000k9F4EAAU
23288605,Billable,N/A,N/A
23289585,Billable,North America,0062J00000mpQXvQAM
23328085,Billable,EMEA,0065000000jR7mTAAS
23392495,Billable,North America,N/A
23420145,Billable,EMEA,0062J00000mpnyHQAQ
23519765,Billable,North America,0062J00000mq97qQAA
23728725,Billable,North America,0065000000kB5o4AAC
23732585,Billable,North America,0065000000k9ULOAA2
24222415,Billable,North America,0062J00000mpbaBQAQ
24306125,Billable,North America,0065000000jwpkEAAQ
24397905,Billable,North America,0065000000kAcMZAA0
24403245,Billable,EMEA,0062J00000mqg5LQAQ
24567995,Billable,North America,0065000000kcIbIAAU
24594025,Billable,North America,0062J00000mpB6RQAU
24667485,Billable,North America,0062J00000lKD7aQAG
24677295,Billable,APAC,N/A
24748835,Billable,North America,0062J00000lKNOTQA4
24823225,Billable,North America,0065000000kABMQAA4
24843025,Billable,EMEA,0062J00000mpmK1QAI
24903695,Billable,EMEA,0065000000k9lLBAAY
24916705,Billable,North America,0062J00000lKGmJQAW
24958625,Billable,North America,0062J00000mqurnQAA
25017985,Billable,EMEA,0065000000hvatxAAA
25036095,Billable,North America,0062J00000nV8XFQA0
25051505,Billable,North America,0062J00000lKo0UQAS
25209335,Billable,North America,0062J00000mpfL6QAI
25236095,Billable,North America,0062J00000lKZXnQAO
25237025,Billable,North America,0065000000l0ZUgAAM
25301905,Billable,N/A,N/A
25392765,Billable,North America,0062J00000lKZbLQAW
25433815,Billable,North America,0062J00000nhgMCQAY
25499895,Billable,EMEA,N/A
25564025,Billable,North America,0062J00000mqLR1QAM
25567745,Billable,APAC,0062J00000mrF0RQAU
25749265,Billable,North America,0062J00000niF0SQAU
